hcfa_icd_9,hcfa_disease_name,hcfa_valid
"333.84","ORGANIC WRITERS' CRAMP",65535
"333.85","SUBAC DYSKINESA D/T DRUG",65535
"333.89","FRAGM TORSION DYSTON NEC",65535
"333.9","EXTRPYRMIDAL DIS NEC/NOS",0
"333.90","EXTRAPYRAMIDAL DIS NOS",65535
"333.91","STIFF-MAN SYNDROME",65535
"333.92","NEUROLEPTIC MALGNT SYND",65535
"333.93","BNIGN SHUDDERING ATTACKS",65535
"333.94","RESTLESS LEGS SYNDROME",65535
"333.99","EXTRAPYRAMIDAL DIS NEC",65535
"334","SPINOCEREBELLAR DISEASE*",0
"334.0","FRIEDREICH'S ATAXIA",65535
"334.1","HERED SPASTIC PARAPLEGIA",65535
"334.2","PRIMARY CEREBELLAR DEGEN",65535
"334.3","CEREBELLAR ATAXIA NEC",65535
"334.4","CEREBEL ATAX IN OTH DIS",65535
"334.8","SPINOCEREBELLAR DIS NEC",65535
"334.9","SPINOCEREBELLAR DIS NOS",65535
"335","ANT HORN CELL DISEASE*",0
"335.0","WERDNIG-HOFFMANN DISEASE",65535
"335.1","SPINAL MUSCULAR ATROPHY*",0
"335.10","SPINAL MUSCL ATROPHY NOS",65535
"335.11","KUGELBERG-WELANDER DIS",65535
"335.19","SPINAL MUSCL ATROPHY NEC",65535
"335.2","MOTOR NEURON DISEASE*",0
"335.20","AMYOTROPHIC SCLEROSIS",65535
"335.21","PROG MUSCULAR ATROPHY",65535
"335.22","PROGRESSIVE BULBAR PALSY",65535
"335.23","PSEUDOBULBAR PALSY",65535
"335.24","PRIM LATERAL SCLEROSIS",65535
"335.29","MOTOR NEURON DISEASE NEC",65535
"335.8","ANT HORN CELL DIS NEC",65535
"335.9","ANT HORN CELL DIS NOS",65535
"336","SPINAL CORD DISEASE NEC*",0
"336.0","SYRINGOMYELIA",65535
"336.1","VASCULAR MYELOPATHIES",65535
"336.2","COMB DEG CORD IN OTH DIS",65535
"336.3","MYELOPATHY IN OTH DIS",65535
"336.8","MYELOPATHY NEC",65535
"336.9","SPINAL CORD DISEASE NOS",65535
"337","AUTONOMIC NERVE DISORDER",0
"337.0","IDIOPATH AUTO NEUROPATHY",65535
"337.1","AUT NEUROPTHY IN OTH DIS",65535
"337.2","REFLEX SYMPTH DYSTROPHY*",0
"337.20","UNSP RFLX SYMPTH DYSTRPH",65535
"337.21","RFLX SYM DYSTRPH UP LIMB",65535
"337.22","RFLX SYM DYSTRPH LWR LMB",65535
"337.29","RFLX SYM DYSTRPH OTH ST",65535
"337.3","AUTONOMIC DYSREFLEXIA",65535
"337.9","AUTONOMIC NERVE DIS NEC",65535
"338.0","CENTRAL PAIN SYNDROME",65535
"338.11","ACUTE PAIN DUE TO TRAUMA",65535
"338.12","ACUTE POST-THORACOT PAIN",65535
"338.18","ACUTE POSTOP PAIN NEC",65535
"338.19","ACUTE PAIN NEC",65535
"338.21","CHRONC PAIN D/T TRAUMA",65535
"338.22","CHRON POST-THORACOT PAIN",65535
"338.28","CHRONIC POSTOP PAIN NEC",65535
"338.29","CHRONIC PAIN NEC",65535
"338.3","NEOPLASM RELATED PAIN",65535
"338.4","CHRONIC PAIN SYNDROME",65535
"340","MULTIPLE SCLEROSIS",65535
"341","OTHER CNS DEMYELINATION*",0
"341.0","NEUROMYELITIS OPTICA",65535
"341.1","SCHILDER'S DISEASE",65535
"341.20","ACUTE MYELITIS NOS",65535
"341.21","ACUTE MYELITIS OTH COND",65535
"341.22","IDIOPATHC TRANS MYELITIS",65535
"341.8","CNS DEMYELINATION NEC",65535
"341.9","CNS DEMYELINATION NOS",65535
"342","HEMIPLEGIA*",0
"342.0","FLACCID HEMIPLEGIA*",0
"342.00","FLCCD HMIPLGA UNSPF SIDE",65535
"342.01","FLCCD HMIPLGA DOMNT SIDE",65535
"342.02","FLCCD HMIPLG NONDMNT SDE",65535
"342.1","SPASTIC HEMIPLEGIA*",0
"342.10","SPSTC HMIPLGA UNSPF SIDE",65535
"342.11","SPSTC HMIPLGA DOMNT SIDE",65535
"342.12","SPSTC HMIPLG NONDMNT SDE",65535
"342.80","OT SP HMIPLGA UNSPF SIDE",65535
"342.81","OT SP HMIPLGA DOMNT SIDE",65535
"342.82","OT SP HMIPLG NONDMNT SDE",65535
"342.9","HEMIPLEGIA NOS*",0
"342.90","UNSP HEMIPLGA UNSPF SIDE",65535
"342.91","UNSP HEMIPLGA DOMNT SIDE",65535
"342.92","UNSP HMIPLGA NONDMNT SDE",65535
"343","INFANTILE CEREBRAL PALSY",0
"343.0","CONGENITAL DIPLEGIA",65535
"343.1","CONGENITAL HEMIPLEGIA",65535
"343.2","CONGENITAL QUADRIPLEGIA",65535
"343.3","CONGENITAL MONOPLEGIA",65535
"343.4","INFANTILE HEMIPLEGIA",65535
"343.8","CEREBRAL PALSY NEC",65535
"343.9","CEREBRAL PALSY NOS",65535
"344","OTH PARALYTIC SYNDROMES*",0
"344.0","QUADRIPLEGIA NOS*",0
"344.00","QUADRIPLEGIA, UNSPECIFD",65535
"344.01","QUADRPLG C1-C4, COMPLETE",65535
"344.02","QUADRPLG C1-C4, INCOMPLT",65535
"344.03","QUADRPLG C5-C7, COMPLETE",65535
"344.04","QUADRPLG C5-C7, INCOMPLT",65535
"344.09","OTHER QUADRIPLEGIA",65535
"344.1","PARAPLEGIA NOS",65535
"344.2","DIPLEGIA OF UPPER LIMBS",65535
"344.3","MONOPLEGIA OF LOWER LIMB",0
"344.30","MONPLGA LWR LMB UNSP SDE",65535
"344.31","MONPLGA LWR LMB DMNT SDE",65535
"344.32","MNPLG LWR LMB NONDMNT SD",65535
"344.4","MONOPLEGIA OF UPPER LIMB",0
"344.40","MONPLGA UPR LMB UNSP SDE",65535
"344.41","MONPLGA UPR LMB DMNT SDE",65535
"344.42","MNPLG UPR LMB NONDMNT SD",65535
"344.5","MONOPLEGIA NOS",65535
"344.6","CAUDA EQUINA SYNDROME*",0
"344.60","CAUDA EQUINA SYND NOS",65535
"344.61","NEUROGENIC BLADDER",65535
"344.8","PARALYTIC SYNDROMES NEC*",0
"344.81","LOCKED-IN STATE",65535
"344.89","OTH SPCF PARALYTIC SYND",65535
"344.9","PARALYSIS NOS",65535
"345","EPILEPSY*",0
"345.0","GEN NONCONVULS EPILEPSY*",0
"345.00","GEN NONCV EP W/O INTR EP",65535
"345.01","GEN NONCONV EP W INTR EP",65535
"345.1","GEN CONVULSIVE EPILEPSY*",0
"345.10","GEN CNV EPIL W/O INTR EP",65535
"345.11","GEN CNV EPIL W INTR EPIL",65535
"345.2","PETIT MAL STATUS",65535
"345.3","GRAND MAL STATUS",65535
"345.4","PSYCHOMOTOR EPILEPSY*",0
"345.40","PSYMOTR EPIL W/O INT EPI",65535
"345.41","PSYMOTR EPIL W INTR EPIL",65535
"345.5","PARTIAL EPILEPSY NEC*",0
"345.50","PART EPIL W/O INTR EPIL",65535
"345.51","PART EPIL W INTR EPIL",65535
"345.6","INFANTILE SPASMS*",0
"345.60","INF SPASM W/O INTR EPIL",65535
"345.61","INF SPASM W INTRACT EPIL",65535
"345.7","EPILEPS PARTIAL CONTINUA",0
"345.70","EPIL PAR CONT W/O INT EP",65535
"345.71","EPIL PAR CONT W INTR EPI",65535
"345.8","EPILEPSY NEC*",0
"345.80","EPILEP NEC W/O INTR EPIL",65535
"345.81","EPILEPSY NEC W INTR EPIL",65535
"345.9","EPILEPSY NOS*",0
"345.90","EPILEP NOS W/O INTR EPIL",65535
"345.91","EPILEPSY NOS W INTR EPIL",65535
"346","MIGRAINE*",0
"346.0","CLASSICAL MIGRAINE*",0
"346.00","CLSC MIGRNE WO NTRC MGRN",65535
"346.01","CLSC MGRN W NTRC MGR STD",65535
"346.1","COMMON MIGRAINE*",0
"346.10","COMN MIGRNE WO NTRC MGRN",65535
"346.11","COMN MGRN W NTRC MGR STD",65535
"346.2","VARIANTS OF MIGRAINE*",0
"346.20","VRNT MIGRNE WO NTRC MGRN",65535
"346.21","VRNT MGRN W NTRC MGR STD",65535
"346.8","MIGRAINE NEC*",0
"346.80","OTHR MIGRNE WO NTRC MGRN",65535
"346.81","OTHR MGRN W NTRC MGR STD",65535
"346.9","MIGRAINE NOS*",0
"346.90","MIGRNE UNSP WO NTRC MGRN",65535
"346.91","MGRN UNSP W NTRC MGR STD",65535
"347","CATAPLEXY AND NARCOLEPSY",0
"347.00","NARCOLEPSY W/O CATAPLEXY",65535
"347.01","NARCOLEPSY W CATAPLEXY",65535
"347.10","NARCLPSY W/O CAT OTH DIS",65535
"347.11","NARCOLEPSY W CAT OTH DIS",65535
"348","OTHER BRAIN CONDITIONS*",0
"348.0","CEREBRAL CYSTS",65535
"348.1","ANOXIC BRAIN DAMAGE",65535
"348.2","PSEUDOTUMOR CEREBRI",65535
"348.3","ENCEPHALOPATHY NOS",0
"348.30","ENCEPHALOPATHY NOS",65535
"348.31","METABOLIC ENCEPHALOPATHY",65535
"348.39","ENCEPHALOPATHY NEC",65535
"348.4","COMPRESSION OF BRAIN",65535
"348.5","CEREBRAL EDEMA",65535
"348.8","BRAIN CONDITIONS NEC",65535
"348.9","BRAIN CONDITION NOS",65535
"349","CNS DISORDER NEC/NOS*",0
"349.0","LUMBAR PUNCTURE REACTION",65535
"349.1","COMPLICATION CNS DEVICE",65535
"349.2","DISORDER OF MENINGES NEC",65535
"349.8","OTHER CNS DISORDERS*",0
"349.81","CEREBROSPINAL RHINORRHEA",65535
"349.82","TOXIC ENCEPHALOPATHY",65535
"349.89","CNS DISORDER NEC",65535
"349.9","CNS DISORDER NOS",65535
"350","TRIGEMINAL NERV DISORDER",0
"350.1","TRIGEMINAL NEURALGIA",65535
"350.2","ATYPICAL FACE PAIN",65535
"350.8","TRIGEMINAL NERVE DIS NEC",65535
"350.9","TRIGEMINAL NERVE DIS NOS",65535
"351","FACIAL NERVE DISORDERS*",0
"351.0","BELL'S PALSY",65535
"351.1","GENICULATE GANGLIONITIS",65535
"351.8","FACIAL NERVE DIS NEC",65535
"351.9","FACIAL NERVE DIS NOS",65535
"352","DISORDER CRAN NERVE NEC*",0
"352.0","OLFACTORY NERVE DISORDER",65535
"352.1","GLOSSOPHARYNG NEURALGIA",65535
"352.2","GLOSSOPHAR NERVE DIS NEC",65535
"352.3","PNEUMOGASTRIC NERVE DIS",65535
"352.4","ACCESSORY NERVE DISORDER",65535
"352.5","HYPOGLOSSAL NERVE DIS",65535
"352.6","MULT CRANIAL NERVE PALSY",65535
"352.9","CRANIAL NERVE DIS NOS",65535
"353","NERVE ROOT/PLEXUS DIS*",0
"353.0","BRACHIAL PLEXUS LESIONS",65535
"353.1","LUMBOSACRAL PLEX LESION",65535
"353.2","CERVICAL ROOT LESION NEC",65535
"353.3","THORACIC ROOT LESION NEC",65535
"353.4","LUMBSACRAL ROOT LES NEC",65535
"353.5","NEURALGIC AMYOTROPHY",65535
"353.6","PHANTOM LIMB (SYNDROME)",65535
"353.8","NERV ROOT/PLEXUS DIS NEC",65535
"353.9","NERV ROOT/PLEXUS DIS NOS",65535
"354","MONONEURITIS UPPER LIMB*",0
"354.0","CARPAL TUNNEL SYNDROME",65535
"354.1","MEDIAN NERVE LESION NEC",65535
"354.2","ULNAR NERVE LESION",65535
"354.3","RADIAL NERVE LESION",65535
"354.4","CAUSALGIA UPPER LIMB",65535
"354.5","MONONEURITIS MULTIPLEX",65535
"354.8","MONONEURITIS ARM NEC",65535
"354.9","MONONEURITIS ARM NOS",65535
"355","MONONEURITIS LEG*",0
"355.0","SCIATIC NERVE LESION",65535
"355.1","MERALGIA PARESTHETICA",65535
"355.2","FEMORAL NERVE LESION NEC",65535
"355.3","LAT POPLITEAL NERVE LES",65535
"355.4","MED POPLITEAL NERVE LES",65535
"355.5","TARSAL TUNNEL SYNDROME",65535
"355.6","PLANTAR NERVE LESION",65535
"355.7","MONONEURITIS LEG NEC*",0
"355.71","CAUSALGIA LOWER LIMB",65535
"355.79","OTH MONONEUR LOWER LIMB",65535
"355.8","MONONEURITIS LEG NOS",65535
"355.9","MONONEURITIS NOS",65535
"356","HERED PERIPH NEUROPATHY*",0
"356.0","HERED PERIPH NEUROPATHY",65535
"356.1","PERONEAL MUSCLE ATROPHY",65535
"356.2","HERED SENSORY NEUROPATHY",65535
"356.3","REFSUM'S DISEASE",65535
"356.4","IDIO PROG POLYNEUROPATHY",65535
"356.8","IDIO PERIPH NEURPTHY NEC",65535
"356.9","IDIO PERIPH NEURPTHY NOS",65535
"357","INFLAM/TOXIC NEUROPATHY*",0
"357.0","AC INFECT POLYNEURITIS",65535
"357.1","NEURPTHY IN COL VASC DIS",65535
"357.2","NEUROPATHY IN DIABETES",65535
"357.3","NEUROPATHY IN MALIG DIS",65535
"357.4","NEUROPATHY IN OTHER DIS",65535
"357.5","ALCOHOLIC POLYNEUROPATHY",65535
"357.6","NEUROPATHY DUE TO DRUGS",65535
"357.7","NEURPTHY TOXIC AGENT NEC",65535
"357.8","INFLAM/TOX NEUROPTHY NEC",0
"357.81","CHR INFLAM POLYNEURITIS",65535
"357.82","CRIT ILLNESS NEUROPATHY",65535
"357.89","INFLAM/TOX NEUROPTHY NEC",65535
"357.9","INFLAM/TOX NEUROPTHY NOS",65535
"358","MYONEURAL DISORDERS*",0
"358.0","MYASTHENIA GRAVIS",0
"358.00","MYSTHNA GRVS W/O AC EXAC",65535
"358.01","MYASTHNA GRAVS W AC EXAC",65535
"358.1","MYASTHENIA IN OTH DIS",65535
"358.2","TOXIC MYONEURAL DISORDER",65535
"358.8","MYONEURAL DISORDERS NEC",65535
"358.9","MYONEURAL DISORDERS NOS",65535
"359","MUSCULAR DYSTROPHIES*",0
"359.0","CONG HERED MUSC DYSTRPHY",65535
"359.1","HERED PROG MUSC DYSTRPHY",65535
"359.2","MYOTONIC DISORDERS",0
"359.21","MYOTONIC MUSCLR DYSTRPHY",65535
"359.22","MYOTONIA CONGENITA",65535
"359.23","MYOTONIC CHONDRODYSTRPHY",65535
"359.24","DRUG INDUCED MYOTONIA",65535
"359.29","MYOTONIC DISORDER NEC",65535
"359.3","PERIODIC PARALYSIS",65535
"359.4","TOXIC MYOPATHY",65535
"359.5","MYOPATHY IN ENDOCRIN DIS",65535
"359.6","INFL MYOPATHY IN OTH DIS",65535
"359.8","MYOPATHY NEC",0
"359.81","CRITICAL ILLNESS MYOPTHY",65535
"359.89","MYOPATHIES NEC",65535
"359.9","MYOPATHY NOS",65535
"360","DISORDERS OF THE GLOBE*",0
"360.0","PURULENT ENDOPHTHALMITIS",0
"360.00","PURULENT ENDOPHTHALM NOS",65535
"360.01","ACUTE ENDOPHTHALMITIS",65535
"360.02","PANOPHTHALMITIS",65535
"360.03","CHRONIC ENDOPHTHALMITIS",65535
"360.04","VITREOUS ABSCESS",65535
"360.1","OTHER ENDOPHTHALMITIS*",0
"360.11","SYMPATHETIC UVEITIS",65535
"360.12","PANUVEITIS",65535
"360.13","PARASITIC ENDOPHTHAL NOS",65535
"360.14","OPHTHALMIA NODOSA",65535
"360.19","ENDOPHTHALMITIS NEC",65535
"360.2","DEGENERATIVE GLOBE DIS*",0
"360.20","DEGENERAT GLOBE DIS NOS",65535
"360.21","PROGRESSIVE HIGH MYOPIA",65535
"360.23","SIDEROSIS",65535
"360.24","OTHER METALLOSIS, EYE",65535
"360.29","DEGENERATIVE GLOBE NEC",65535
"360.3","HYPOTONY OF EYE*",0
"360.30","HYPOTONY NOS, EYE",65535
"360.31","PRIMARY HYPOTONY",65535
"360.32","HYPOTONY DUE TO FISTULA",65535
"360.33","HYPOTONY W EYE DIS NEC",65535
"360.34","FLAT ANTERIOR CHAMBER",65535
"360.4","DEGENERATION OF EYE*",0
"360.40","DEGENERATION OF EYE NOS",65535
"360.41","BLIND HYPOTENSIVE EYE",65535
"360.42","BLIND HYPERTENSIVE EYE",65535
"360.43","HEMOPHTHALMOS",65535
"360.44","LEUCOCORIA",65535
"360.5","OLD MAGNET FB, EYE*",0
"360.50","OLD MAGNET FB, EYE NOS",65535
"360.51","OLD MAGNET FB, ANT CHAMB",65535
"360.52","OLD MAGNET FB, IRIS",65535
"360.53","OLD MAGNET FB, LENS",65535
"360.54","OLD MAGNET FB, VITREOUS",65535
"360.55","OLD MAGNET FB, POST WALL",65535
"360.59","OLD MAGNET FB, EYE NEC",65535
"360.6","OLD FOREIGN BODY EYE NOS",0
"360.60","INTRAOCULAR FB NOS",65535
"360.61","FB IN ANTERIOR CHAMBER",65535
"360.62","FB IN IRIS OR CILIARY",65535
"360.63","FOREIGN BODY IN LENS",65535
"360.64","FOREIGN BODY IN VITREOUS",65535
"360.65","FB IN POSTERIOR WALL",65535
"360.69","INTRAOCULAR FB NEC",65535
"360.8","OTH DISORDERS OF GLOBE*",0
"360.81","LUXATION OF GLOBE",65535
"360.89","DISORDER OF GLOBE NEC",65535
"360.9","DISORDER OF GLOBE NOS",65535
"361","RETINAL DETACHMENT*",0
"361.0","RETINAL DETACH W DEFECT*",0
"361.00","DETACHMNT W DEFECT NOS",65535
"361.01","PART DETACH-SINGL DEFEC",65535
"361.02","PART DETACH-MULT DEFECT",65535
"361.03","PART DETACH-GIANT TEAR",65535
"361.04","PART DETACH-DIALYSIS",65535
"361.05","RECENT DETACHMENT, TOTAL",65535
"361.06","OLD DETACHMENT, PARTIAL",65535
"361.07","OLD DETACHMENT, TOTAL",65535
"361.1","RETINOSCHISIS*",0
"361.10","RETINOSCHISIS NOS",65535
"361.11","FLAT RETINOSCHISIS",65535
"361.12","BULLOUS RETINOSCHISIS",65535
"361.13","PRIMARY RETINAL CYSTS",65535
"361.14","SECONDARY RETINAL CYSTS",65535
"361.19","RETINOSHISIS OR CYST NEC",65535
"361.2","SEROUS RETINA DETACHMENT",65535
"361.3","RETINA DEFECT W/O DETACH",0
"361.30","RETINAL DEFECT NOS",65535
"361.31","ROUND HOLE OF RETINA",65535
"361.32","HORSESHOE TEAR OF RETINA",65535
"361.33","MULT DEFECTS OF RETINA",65535
"361.8","OTHER RETINAL DETACHMENT",0
"361.81","RETINAL TRACTION DETACH",65535
"361.89","RETINAL DETACHMENT NEC",65535
"361.9","RETINAL DETACHMENT NOS",65535
"362","RETINAL DISORDERS NEC*",0
"362.0","DIABETIC RETINOPATHY*",0
"362.01","DIABETIC RETINOPATHY NOS",65535
"362.02","PROLIF DIAB RETINOPATHY",65535
"362.03","NONPROLF DB RETNOPH NOS",65535
"362.04","MILD NONPROLF DB RETNOPH",65535
"362.05","MOD NONPROLF DB RETINOPH",65535
"362.06","SEV NONPROLF DB RETINOPH",65535
"362.07","DIABETIC MACULAR EDEMA",65535
"362.1","BACKGRND RETINOPATHY NEC",0
"362.10","BACKGRND RETINOPATHY NOS",65535
"362.11","HYPERTENSIVE RETINOPATHY",65535
"362.12","EXUDATIVE RETINOPATHY",65535
"362.13","RETINAL VASCULAR CHANGES",65535
"362.14","RETINA MICROANEURYSM NOS",65535
"362.15","RETINAL TELANGIECTASIA",65535
"362.16","RETINAL NEOVASCULAR NOS",65535
"362.17","RETINAL VARICES",65535
"362.18","RETINAL VASCULITIS",65535
"362.2","OTH PROLIF RETINOPATHY*",0
"362.21","RETROLENTAL FIBROPLASIA",65535
"362.29","PROLIF RETINOPATHY NEC",65535
"362.3","RETINAL VASC OCCLUSION*",0
"362.30","RETINAL VASC OCCLUS NOS",65535
"362.31","CENT RETINA ARTERY OCCLU",65535
"362.32","ARTERIAL BRANCH OCCLUS",65535
"362.33","PART ARTERIAL OCCLUSION",65535
"362.34","TRANSIENT ARTERIAL OCCLU",65535
"362.35","CENT RETINAL VEIN OCCLUS",65535
"362.36","VENOUS TRIBUTARY OCCLUS",65535
"362.37","RETINA VENOUS ENGORGEMNT",65535
"362.4","RETINA LAYER SEPARATION*",0
"362.40","RETINA LAYER SEPARAT NOS",65535
"362.41","CENT SEROUS RETINOPATHY",65535
"362.42","SEROUS DETACH PIGM EPITH",65535
"362.43","HEM DETACH PIGMNT EPITH",65535
"362.5","DEGENERATION OF MACULA*",0
"362.50","MACULAR DEGENERATION NOS",65535
"362.51","NONEXUDAT MACULAR DEGEN",65535
"362.52","EXUDATIVE MACULAR DEGEN",65535
"362.53","CYSTOID MACULAR DEGEN",65535
"362.54","MACULAR CYST OR HOLE",65535
"362.55","TOXIC MACULOPATHY",65535
"362.56","MACULAR PUCKERING",65535
"362.57","DRUSEN (DEGENERATIVE)",65535
"362.6","PERIPH RETINA DEGEN*",0
"362.60","PERIPH RETINA DEGEN NOS",65535
"362.61","PAVING STONE DEGENERAT",65535
"362.62","MICROCYSTOID DEGENERAT",65535
"362.63","LATTICE DEGENERATION",65535
"362.64","SENILE RETICULAR DEGEN",65535
"362.65","SECONDRY PIGMENT DEGEN",65535
"362.66","SEC VITREORETINA DEGEN",65535
"362.7","HERED RETINAL DYSTROPHY*",0
"362.70","HERED RETIN DYSTRPHY NOS",65535
"362.71","RET DYSTRPH IN LIPIDOSES",65535
"362.72","RET DYSTRPH IN SYST DIS",65535
"362.73","VITREORETINAL DYSTROPHY",65535
"362.74","PIGMENT RETINA DYSTROPHY",65535
"362.75","SENSORY RETINA DYSTROPHY",65535
"362.76","VITELLIFORM DYSTROPHY",65535
"362.77","BRUCH MEMBRANE DYSTROPHY",65535
"362.8","OTHER RETINAL DISORDERS*",0
"362.81","RETINAL HEMORRHAGE",65535
"362.82","RETINA EXUDATES/DEPOSITS",65535
"362.83","RETINAL EDEMA",65535
"362.84","RETINAL ISCHEMIA",65535
"362.85","RETINAL NERV FIBER DEFEC",65535
"362.89","RETINAL DISORDERS NEC",65535
"362.9","RETINAL DISORDER NOS",65535
"363","CHOROIDAL DISORDERS*",0
"363.0","FOCAL CHORIORETINITIS*",0
"363.00","FOCAL CHORIORETINIT NOS",65535
"363.01","JUXTAPAP FOC CHOROIDITIS",65535
"363.03","FOC CHOROIDITIS POST NEC",65535
"363.04","PERIPH FOCAL CHOROIDITIS",65535
"363.05","JUXTAPAP FOCAL RETINITIS",65535
"363.06","MACULAR FOCAL RETINITIS",65535
"363.07","FOC RETINITIS POST NEC",65535
"363.08","PERIPH FOCAL RETINITIS",65535
"363.1","DISSEMIN CHORIORETINITIS",0
"363.10","DISSEM CHORIORETINIT NOS",65535
"363.11","DISSEM CHOROIDITIS, POST",65535
"363.12","PERIPH DISEM CHOROIDITIS",65535
"363.13","GEN DISSEM CHOROIDITIS",65535
"363.14","METASTAT DISSEM RETINIT",65535
"363.15","PIGMENT EPITHELIOPATHY",65535
"363.2","CHORIORETINITIS NEC/NOS*",0
"363.20","CHORIORETINITIS NOS",65535
"363.21","PARS PLANITIS",65535
"363.22","HARADA'S DISEASE",65535
"363.3","CHORIORETINAL SCARS*",0
"363.30","CHORIORETINAL SCAR NOS",65535
"363.31","SOLAR RETINOPATHY",65535
"363.32","MACULAR SCARS NEC",65535
"363.33","POSTERIOR POLE SCAR NEC",65535
"363.34","PERIPHERAL RETINAL SCARS",65535
"363.35","DISSEMINATED RETINA SCAR",65535
"363.4","CHOROIDAL DEGENERATIONS*",0
"363.40","CHOROIDAL DEGEN NOS",65535
"363.41","SENILE ATROPHY, CHOROID",65535
"363.42","DIFUS SEC ATROPH CHOROID",65535
"363.43","ANGIOID STREAKS, CHOROID",65535
"363.5","HERED CHOROID DYSTROPHY*",0
"363.50","HERED CHOROID ATROPH NOS",65535
"363.51","PRT CIRCMPAP CHOROID DYS",65535
"363.52","TOT CIRCMPAP CHOROID DYS",65535
"363.53","PART CENT CHOROID DYSTR",65535
"363.54","TOT CENT CHOROID ATROPHY",65535
"363.55","CHOROIDEREMIA",65535
"363.56","PRT GEN CHOROID DYST NEC",65535
"363.57","TOT GEN CHOROID DYST NEC",65535
"363.6","CHOROIDAL HEMORR/RUPTURE",0
"363.61","CHOROIDAL HEMORRHAGE NOS",65535
"363.62","EXPULSIVE CHOROID HEMORR",65535
"363.63","CHOROIDAL RUPTURE",65535
"363.7","CHOROIDAL DETACHMENT*",0
"363.70","CHOROIDAL DETACHMENT NOS",65535
"363.71","SEROUS CHOROID DETACHMNT",65535
"363.72","HEMORR CHOROID DETACHMNT",65535
"363.8","DISORDERS OF CHOROID NEC",65535
"363.9","CHOROIDAL DISORDER NOS",65535
"364","IRIS/CILIARY BODY DIS*",0
"364.0","ACUTE IRIDOCYCLITIS*",0
"364.00","ACUTE IRIDOCYCLITIS NOS",65535
"364.01","PRIMARY IRIDOCYCLITIS",65535
"364.02","RECURRENT IRIDOCYCLITIS",65535
"364.03","SECONDRY IRITIS, INFECT",65535
"364.04","SECOND IRITIS, NONINFEC",65535
"364.05","HYPOPYON",65535
"364.1","CHRONIC IRIDOCYCLITIS*",0
"364.10","CHR IRIDOCYCLITIS NOS",65535
"364.11","CHR IRIDOCYL IN OTH DIS",65535
"364.2","IRIDOCYCLITIS NEC*",0
"364.21","FUCH HETROCHROM CYCLITIS",65535
"364.22","GLAUCOMATOCYCLIT CRISES",65535
"364.23","LENS-INDUCED IRIDOCYCLIT",65535
"364.24","VOGT-KOYANAGI SYNDROME",65535
"364.3","IRIDOCYCLITIS NOS",65535
"364.4","VASCULR DIS IRIS/CILIARY",0
"364.41","HYPHEMA",65535
"364.42","RUBEOSIS IRIDIS",65535
"364.5","DEGENERAT IRIS/CILIARY*",0
"364.51","PROGRESSIVE IRIS ATROPHY",65535
"364.52","IRIDOSCHISIS",65535
"364.53","PIGMENT IRIS DEGENERAT",65535
"364.54","PUPILLARY MARGIN DEGEN",65535
"364.55","MIOTIC CYST PUPIL MARGIN",65535
"364.56","DEGEN CHAMBER ANGLE",65535
"364.57","DEGEN CILIARY BODY",65535
"364.59","IRIS ATROPHY NEC",65535
"364.6","ANTERIOR CHAMBER CYSTS*",0
"364.60","IDIOPATHIC CYSTS",65535
"364.61","IMPLANTATION CYSTS",65535
"364.62","EXUD CYST IRIS/ANT CHAMB",65535
"364.63","PRIMARY CYST PARS PLANA",65535
"364.64","EXUDAT CYST PARS PLANA",65535
"364.7","ADHESN IRIS/CILIARY BODY",0
"364.70","ADHESIONS OF IRIS NOS",65535
"364.71","POSTERIOR SYNECHIAE",65535
"364.72","ANTERIOR SYNECHIAE",65535
"364.73","GONIOSYNECHIAE",65535
"364.74","PUPILLARY MEMBRANES",65535
"364.75","PUPILLARY ABNORMALITIES",65535
"364.76","IRIDODIALYSIS",65535
"364.77","RECESSION, CHAMBER ANGLE",65535
"364.8","IRIS/CILIARY DIS NEC",0
"364.81","FLOPPY IRIS SYNDROME",65535
"364.89","IRIS/CILIARY DISORD NEC",65535
"364.9","IRIS/CILIARY DIS NOS",65535
"365","GLAUCOMA*",0
"365.0","BORDERLINE GLAUCOMA*",0
"365.00","PREGLAUCOMA NOS",65535
"365.01","OPN ANGL W BORDERLN FIND",65535
"365.02","ANATOMICAL NARROW ANGLE",65535
"365.03","STEROID RESPONDERS",65535
"365.04","OCULAR HYPERTENSION",65535
"365.1","OPEN-ANGLE GLAUCOMA*",0
"365.10","OPEN-ANGLE GLAUCOMA NOS",65535
"365.11","PRIM OPEN ANGLE GLAUCOMA",65535
"365.12","LOW TENSION GLAUCOMA",65535
"365.13","PIGMENTARY GLAUCOMA",65535
"365.14","GLAUCOMA OF CHILDHOOD",65535
"365.15","RESIDUAL OPN ANG GLAUCMA",65535
"365.2","PRIM ANGL-CLOSURE GLAUC*",0
"365.20","PRIM ANGL-CLOS GLAUC NOS",65535
"365.21","INTERMIT ANGL-CLOS GLAUC",65535
"365.22","ACUTE ANGL-CLOS GLAUCOMA",65535
"365.23","CHR ANGLE-CLOS GLAUCOMA",65535
"365.24","RESIDUAL ANGL-CLOS GLAUC",65535
"365.3","STEROID-INDUCED GLAUCOMA",0
"365.31","GLAUC STAGE-STER INDUCED",65535
"365.32","GLAUC RESID-STER INDUCED",65535
