Ingredient|DF;Route||Trade_Name|Applicant|Strength|Appl_Type|Appl_No|Product_No|TE_Code|Approval_Date|RLD|Type|Applicant_Full_Name
DEXTROSE,SODIUM CHLORIDE|INJECTABLE|INJECTION|DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER|B BRAUN|5GM/100ML,450MG/100ML|N|018030|002||Approved Prior to Jan 1, 1982|No|DISCN|B BRAUN MEDICAL INC
DEXTROSE,SODIUM CHLORIDE|INJECTABLE|INJECTION|DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER|B BRAUN|5GM/100ML,450MG/100ML|N|019631|009|AP|Feb 24, 1988|No|RX|B BRAUN MEDICAL INC
DEXTROSE,SODIUM CHLORIDE|INJECTABLE|INJECTION|DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER|HOSPIRA|5GM/100ML,450MG/100ML|N|017607|001|AP|Approved Prior to Jan 1, 1982|No|RX|HOSPIRA INC
DEXTROSE,SODIUM CHLORIDE|INJECTABLE|INJECTION|DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER|MILES|5GM/100ML,450MG/100ML|N|018400|001||Approved Prior to Jan 1, 1982|No|DISCN|MILES LABORATORIES INC
DEXTROSE,SODIUM CHLORIDE|INJECTABLE|INJECTION|DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER|ABBOTT|5GM/100ML,900MG/100ML|N|019483|001||Oct 4, 1985|No|DISCN|ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV
DEXTROSE,SODIUM CHLORIDE|INJECTABLE|INJECTION|DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER|B BRAUN|5GM/100ML,900MG/100ML|N|018026|001||Approved Prior to Jan 1, 1982|No|DISCN|B BRAUN MEDICAL INC
DEXTROSE,SODIUM CHLORIDE|INJECTABLE|INJECTION|DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER|B BRAUN|5GM/100ML,900MG/100ML|N|019631|010|AP|Feb 24, 1988|No|RX|B BRAUN MEDICAL INC
DEXTROSE,SODIUM CHLORIDE|INJECTABLE|INJECTION|DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER|HOSPIRA|5GM/100ML,900MG/100ML|N|017585|001|AP|Approved Prior to Jan 1, 1982|No|RX|HOSPIRA INC
DEXTROSE,SODIUM CHLORIDE|INJECTABLE|INJECTION|DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER|MILES|5GM/100ML,900MG/100ML|N|018500|001||Approved Prior to Jan 1, 1982|No|DISCN|MILES LABORATORIES INC
DEXTROSE,SODIUM CHLORIDE|INJECTABLE|INJECTION|DEXTROSE 5% IN SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER|BAXTER HLTHCARE|5GM/100ML,200MG/100ML|N|016689|001|AP|Approved Prior to Jan 1, 1982|No|RX|BAXTER HEALTHCARE CORP
DEXTROSE,SODIUM CHLORIDE|INJECTABLE|INJECTION|DEXTROSE 5% IN SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER|BAXTER HLTHCARE|5GM/100ML,330MG/100ML|N|016687|001|AP|Approved Prior to Jan 1, 1982|No|RX|BAXTER HEALTHCARE CORP
DEXTROSE,SODIUM CHLORIDE|INJECTABLE|INJECTION|DEXTROSE 5% IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER|BAXTER HLTHCARE|5GM/100ML,450MG/100ML|N|016683|001|AP|Approved Prior to Jan 1, 1982|No|RX|BAXTER HEALTHCARE CORP
DEXTROSE,SODIUM CHLORIDE|INJECTABLE|INJECTION|DEXTROSE 5% IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER|BAXTER HLTHCARE|5GM/100ML,900MG/100ML|N|016678|001|AP|Approved Prior to Jan 1, 1982|No|RX|BAXTER HEALTHCARE CORP
DEXTROTHYROXINE SODIUM|TABLET|ORAL|CHOLOXIN|ABBOTT|1MG|N|012302|005||Approved Prior to Jan 1, 1982|No|DISCN|ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV
DEXTROTHYROXINE SODIUM|TABLET|ORAL|CHOLOXIN|ABBOTT|2MG|N|012302|002||Approved Prior to Jan 1, 1982|No|DISCN|ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV
DEXTROTHYROXINE SODIUM|TABLET|ORAL|CHOLOXIN|ABBOTT|4MG|N|012302|004||Approved Prior to Jan 1, 1982|No|DISCN|ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV
DEXTROTHYROXINE SODIUM|TABLET|ORAL|CHOLOXIN|ABBOTT|6MG|N|012302|006||Approved Prior to Jan 1, 1982|No|DISCN|ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV
DEZOCINE|INJECTABLE|INJECTION|DALGAN|ASTRAZENECA|10MG/ML|N|019082|002||Dec 29, 1989|No|DISCN|ASTRAZENECA LP
DEZOCINE|INJECTABLE|INJECTION|DALGAN|ASTRAZENECA|15MG/ML|N|019082|003||Dec 29, 1989|No|DISCN|ASTRAZENECA LP
DEZOCINE|INJECTABLE|INJECTION|DALGAN|ASTRAZENECA|5MG/ML|N|019082|001||Dec 29, 1989|No|DISCN|ASTRAZENECA LP
DIATRIZOATE MEGLUMINE|INJECTABLE|INJECTION|ANGIOVIST 282|BAYER HLTHCARE|60%|A|087726|001||Sep 23, 1982|No|DISCN|BAYER HEALTHCARE PHARMACEUTICALS INC
DIATRIZOATE MEGLUMINE|INJECTABLE|INJECTION|CARDIOGRAFIN|BRACCO|85%|N|011620|002||Approved Prior to Jan 1, 1982|No|DISCN|BRACCO DIAGNOSTICS INC
DIATRIZOATE MEGLUMINE|INJECTABLE|INJECTION|DIATRIZOATE MEGLUMINE|BRACCO|76%|N|010040|017||Approved Prior to Jan 1, 1982|No|DISCN|BRACCO DIAGNOSTICS INC
DIATRIZOATE MEGLUMINE|INJECTABLE|INJECTION|HYPAQUE|GE HEALTHCARE|30%|N|016403|002||Approved Prior to Jan 1, 1982|No|DISCN|GE HEALTHCARE
DIATRIZOATE MEGLUMINE|INJECTABLE|INJECTION|HYPAQUE|GE HEALTHCARE|60%|N|016403|001||Approved Prior to Jan 1, 1982|No|DISCN|GE HEALTHCARE
DIATRIZOATE MEGLUMINE|INJECTABLE|INJECTION|RENO-60|BRACCO|60%|N|010040|016||Approved Prior to Jan 1, 1982|No|DISCN|BRACCO DIAGNOSTICS INC
DIATRIZOATE MEGLUMINE|INJECTABLE|INJECTION|RENO-DIP|BRACCO|30%|N|010040|012||Approved Prior to Jan 1, 1982|No|DISCN|BRACCO DIAGNOSTICS INC
DIATRIZOATE MEGLUMINE|INJECTABLE|INJECTION|UROVIST MEGLUMINE DIU/CT|BAYER HLTHCARE|30%|A|087739|001||Sep 23, 1982|No|DISCN|BAYER HEALTHCARE PHARMACEUTICALS INC
DIATRIZOATE MEGLUMINE|SOLUTION|URETERAL|RENO-30|BRACCO|30%|N|010040|021||Approved Prior to Jan 1, 1982|No|DISCN|BRACCO DIAGNOSTICS INC
DIATRIZOATE MEGLUMINE|SOLUTION|URETERAL|UROVIST CYSTO|BAYER HLTHCARE|30%|A|087729|001||Sep 23, 1982|No|DISCN|BAYER HEALTHCARE PHARMACEUTICALS INC
DIATRIZOATE MEGLUMINE|SOLUTION|URETERAL|UROVIST CYSTO PEDIATRIC|BAYER HLTHCARE|30%|A|087731|001||Sep 23, 1982|No|DISCN|BAYER HEALTHCARE PHARMACEUTICALS INC
DIATRIZOATE MEGLUMINE|SOLUTION|URETHRAL|CYSTOGRAFIN|BRACCO|30%|N|010040|018||Approved Prior to Jan 1, 1982|No|RX|BRACCO DIAGNOSTICS INC
DIATRIZOATE MEGLUMINE|SOLUTION|URETHRAL|CYSTOGRAFIN DILUTE|BRACCO|18%|N|010040|022||Nov 9, 1982|No|RX|BRACCO DIAGNOSTICS INC
DIATRIZOATE MEGLUMINE|SOLUTION|URETHRAL|HYPAQUE-CYSTO|GE HEALTHCARE|30%|N|016403|003||Approved Prior to Jan 1, 1982|No|DISCN|GE HEALTHCARE
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|INJECTABLE|INJECTION|ANGIOVIST 292|BAYER HLTHCARE|52%,8%|A|087724|001||Sep 23, 1982|No|DISCN|BAYER HEALTHCARE PHARMACEUTICALS INC
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|INJECTABLE|INJECTION|ANGIOVIST 370|BAYER HLTHCARE|66%,10%|A|087723|001||Sep 23, 1982|No|DISCN|BAYER HEALTHCARE PHARMACEUTICALS INC
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|INJECTABLE|INJECTION|DIATRIZOATE-60|INTL MEDICATION|52%,8%|A|088166|001||Jun 17, 1983|No|DISCN|INTERNATIONAL MEDICATION SYSTEMS LTD
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|INJECTABLE|INJECTION|HYPAQUE-76|GE HEALTHCARE|66%,10%|A|086505|001||Approved Prior to Jan 1, 1982|No|DISCN|GE HEALTHCARE
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|INJECTABLE|INJECTION|HYPAQUE-M,75%|GE HEALTHCARE|50%,25%|N|010220|003||Approved Prior to Jan 1, 1982|No|DISCN|GE HEALTHCARE
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|INJECTABLE|INJECTION|HYPAQUE-M,90%|GE HEALTHCARE|60%,30%|N|010220|002||Approved Prior to Jan 1, 1982|No|DISCN|GE HEALTHCARE
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|INJECTABLE|INJECTION|MD-60|MALLINCKRODT|52%,8%|A|087074|001||Approved Prior to Jan 1, 1982|No|DISCN|MALLINCKRODT MEDICAL INC
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|INJECTABLE|INJECTION|MD-76|MALLINCKRODT|66%,10%|A|087073|001||Approved Prior to Jan 1, 1982|No|DISCN|MALLINCKRODT MEDICAL INC
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|INJECTABLE|INJECTION|MD-76R|MALLINCKRODT|66%,10%|N|019292|001|AP|Sep 29, 1989|Yes|RX|MALLINCKRODT MEDICAL INC
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|INJECTABLE|INJECTION|RENOCAL-76|BRACCO|66%,10%|A|089347|001||Jun 1, 1988|No|DISCN|BRACCO DIAGNOSTICS INC
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|INJECTABLE|INJECTION|RENOGRAFIN-60|BRACCO|52%,8%|N|010040|006||Approved Prior to Jan 1, 1982|No|DISCN|BRACCO DIAGNOSTICS INC
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|INJECTABLE|INJECTION|RENOGRAFIN-76|BRACCO|66%,10%|N|010040|001|AP|Approved Prior to Jan 1, 1982|Yes|RX|BRACCO DIAGNOSTICS INC
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|INJECTABLE|INJECTION|RENOVIST|BRACCO|34.3%,35%|N|010040|020||Approved Prior to Jan 1, 1982|No|DISCN|BRACCO DIAGNOSTICS INC
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|INJECTABLE|INJECTION|RENOVIST II|BRACCO|28.5%,29.1%|N|010040|019||Approved Prior to Jan 1, 1982|No|DISCN|BRACCO DIAGNOSTICS INC
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|SOLUTION|ORAL, RECTAL|GASTROGRAFIN|BRACCO|66%,10%|N|011245|003|AA|Approved Prior to Jan 1, 1982|Yes|RX|BRACCO DIAGNOSTICS INC
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|SOLUTION|ORAL, RECTAL|GASTROVIST|BAYER HLTHCARE|66%,10%|A|087728|001||Sep 23, 1982|No|DISCN|BAYER HEALTHCARE PHARMACEUTICALS INC
DIATRIZOATE MEGLUMINE,DIATRIZOATE SODIUM|SOLUTION|ORAL, RECTAL|MD-GASTROVIEW|MALLINCKRODT|66%,10%|A|087388|001|AA|Approved Prior to Jan 1, 1982|No|RX|MALLINCKRODT MEDICAL INC
DIATRIZOATE MEGLUMINE,IODIPAMIDE MEGLUMINE|SOLUTION|INTRAUTERINE|SINOGRAFIN|BRACCO|52.7%,26.8%|N|011324|002||Approved Prior to Jan 1, 1982|Yes|RX|BRACCO DIAGNOSTICS INC
DIATRIZOATE SODIUM|FOR SOLUTION|ORAL, RECTAL|HYPAQUE|GE HEALTHCARE|100%|N|011386|001||Approved Prior to Jan 1, 1982|No|RX|GE HEALTHCARE
DIATRIZOATE SODIUM|INJECTABLE|INJECTION|HYPAQUE|GE HEALTHCARE|25%|N|009561|003||Approved Prior to Jan 1, 1982|No|DISCN|GE HEALTHCARE
DIATRIZOATE SODIUM|INJECTABLE|INJECTION|HYPAQUE|GE HEALTHCARE|50%|N|009561|001||Approved Prior to Jan 1, 1982|No|DISCN|GE HEALTHCARE
DIATRIZOATE SODIUM|INJECTABLE|INJECTION|MD-50|MALLINCKRODT|50%|A|087075|001||Approved Prior to Jan 1, 1982|No|DISCN|MALLINCKRODT INC
DIATRIZOATE SODIUM|INJECTABLE|INJECTION|UROVIST SODIUM 300|BAYER HLTHCARE|50%|A|087725|001||Sep 23, 1982|No|DISCN|BAYER HEALTHCARE PHARMACEUTICALS INC
DIATRIZOATE SODIUM|SOLUTION|ORAL, RECTAL|HYPAQUE|GE HEALTHCARE|40%|N|011386|003||Approved Prior to Jan 1, 1982|No|DISCN|GE HEALTHCARE
DIATRIZOATE SODIUM|SOLUTION|URETERAL|HYPAQUE SODIUM 20%|GE HEALTHCARE|20%|N|009561|002||Approved Prior to Jan 1, 1982|No|DISCN|GE HEALTHCARE
DIAZEPAM|CAPSULE, EXTENDED RELEASE|ORAL|VALRELEASE|ROCHE|15MG|N|018179|001||Approved Prior to Jan 1, 1982|No|DISCN|HOFFMANN LA ROCHE INC
DIAZEPAM|CONCENTRATE|ORAL|DIAZEPAM INTENSOL|ROXANE|5MG/ML|A|071415|001||Apr 3, 1987|Yes|RX|ROXANE LABORATORIES INC
DIAZEPAM|GEL|RECTAL|DIASTAT|VALEANT|10MG/2ML (5MG/ML)|N|020648|003||Jul 29, 1997|No|DISCN|VALEANT PHARMACEUTICALS INTERNATIONAL
DIAZEPAM|GEL|RECTAL|DIASTAT|VALEANT|15MG/3ML (5MG/ML)|N|020648|004||Jul 29, 1997|No|DISCN|VALEANT PHARMACEUTICALS INTERNATIONAL
DIAZEPAM|GEL|RECTAL|DIASTAT|VALEANT|2.5MG/0.5ML (5MG/ML)|N|020648|001||Jul 29, 1997|No|RX|VALEANT PHARMACEUTICALS INTERNATIONAL
DIAZEPAM|GEL|RECTAL|DIASTAT|VALEANT|20MG/4ML (5MG/ML)|N|020648|005||Jul 29, 1997|No|DISCN|VALEANT PHARMACEUTICALS INTERNATIONAL
DIAZEPAM|GEL|RECTAL|DIASTAT|VALEANT|5MG/ML (5MG/ML)|N|020648|002||Jul 29, 1997|No|DISCN|VALEANT PHARMACEUTICALS INTERNATIONAL
DIAZEPAM|GEL|RECTAL|DIASTAT ACUDIAL|VALEANT|10MG/2ML (5MG/ML)|N|020648|007||Sep 15, 2005|No|RX|VALEANT PHARMACEUTICALS INTERNATIONAL
DIAZEPAM|GEL|RECTAL|DIASTAT ACUDIAL|VALEANT|20MG/4ML (5MG/ML)|N|020648|006||Sep 15, 2005|Yes|RX|VALEANT PHARMACEUTICALS INTERNATIONAL
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|ABRAXIS PHARM|5MG/ML|A|070662|001||Jun 25, 1986|No|DISCN|ABRAXIS PHARMACEUTICAL PRODUCTS
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|BAXTER HLTHCARE|5MG/ML|A|070311|001||Dec 16, 1985|No|DISCN|BAXTER HEALTHCARE CORP ANESTHESIA AND CRITICAL CARE
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|BAXTER HLTHCARE|5MG/ML|A|070312|001||Dec 16, 1985|No|DISCN|BAXTER HEALTHCARE CORP ANESTHESIA AND CRITICAL CARE
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|BAXTER HLTHCARE|5MG/ML|A|070313|001||Dec 16, 1985|No|DISCN|BAXTER HEALTHCARE CORP ANESTHESIA AND CRITICAL CARE
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|BAXTER HLTHCARE|5MG/ML|A|071308|001||Jul 17, 1987|No|DISCN|BAXTER HEALTHCARE CORP ANESTHESIA AND CRITICAL CARE
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|BAXTER HLTHCARE|5MG/ML|A|071309|001||Jul 17, 1987|No|DISCN|BAXTER HEALTHCARE CORP ANESTHESIA AND CRITICAL CARE
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|BAXTER HLTHCARE|5MG/ML|A|071310|001||Jul 17, 1987|No|DISCN|BAXTER HEALTHCARE CORP ANESTHESIA AND CRITICAL CARE
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|HOSPIRA|5MG/ML|A|071583|001|AP|Oct 13, 1987|Yes|RX|HOSPIRA INC
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|HOSPIRA|5MG/ML|A|071584|001|AP|Oct 13, 1987|No|RX|HOSPIRA INC
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|HOSPIRA|5MG/ML|A|072079|001|AP|Dec 20, 1988|No|RX|HOSPIRA INC
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|MARSAM PHARMS LLC|5MG/ML|A|072370|001||Jan 29, 1993|No|DISCN|MARSAM PHARMACEUTICALS LLC
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|MARSAM PHARMS LLC|5MG/ML|A|072371|001||Jan 29, 1993|No|DISCN|MARSAM PHARMACEUTICALS LLC
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|MARSAM PHARMS LLC|5MG/ML|A|072397|001||Jan 29, 1993|No|DISCN|MARSAM PHARMACEUTICALS LLC
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|PARENTA PHARMS|5MG/ML|A|076815|001||Apr 15, 2004|No|DISCN|PARENTA PHARMACEUTICALS INC
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|US ARMY|5MG/ML|N|020124|001||Dec 5, 1990|No|DISCN|US ARMY MEDICAL RESEARCH MATERIEL COMMAND
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|WARNER CHILCOTT|5MG/ML|A|071613|001||Oct 22, 1987|No|DISCN|WARNER CHILCOTT DIV WARNER LAMBERT CO
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|WARNER CHILCOTT|5MG/ML|A|071614|001||Oct 22, 1987|No|DISCN|WARNER CHILCOTT DIV WARNER LAMBERT CO
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|WATSON LABS|5MG/ML|A|070296|001|AP|Feb 12, 1986|No|RX|WATSON LABORATORIES INC
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|WATSON LABS|5MG/ML|A|070911|001||Aug 28, 1986|No|DISCN|WATSON LABORATORIES INC
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|WATSON LABS|5MG/ML|A|070912|001||Aug 28, 1986|No|DISCN|WATSON LABORATORIES INC
DIAZEPAM|INJECTABLE|INJECTION|DIAZEPAM|WATSON LABS|5MG/ML|A|070930|001||Dec 1, 1986|No|DISCN|WATSON LABORATORIES INC
DIAZEPAM|INJECTABLE|INJECTION|DIZAC|PHARMACIA AND UPJOHN|5MG/ML|N|019287|001||Jun 18, 1993|No|DISCN|PHARMACIA AND UPJOHN CO
DIAZEPAM|INJECTABLE|INJECTION|VALIUM|ROCHE|5MG/ML|N|016087|001||Approved Prior to Jan 1, 1982|No|DISCN|HOFFMANN LA ROCHE INC
DIAZEPAM|SOLUTION|ORAL|DIAZEPAM|ROXANE|5MG/5ML|A|070928|001||Apr 3, 1987|Yes|RX|ROXANE LABORATORIES INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|ACTAVIS ELIZABETH|10MG|A|070707|001|AB|Mar 19, 1986|No|RX|ACTAVIS ELIZABETH LLC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|ACTAVIS ELIZABETH|2MG|A|070781|001|AB|Mar 19, 1986|No|RX|ACTAVIS ELIZABETH LLC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|ACTAVIS ELIZABETH|5MG|A|070706|001|AB|Mar 19, 1986|No|RX|ACTAVIS ELIZABETH LLC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|BARR|10MG|A|070154|001|AB|Nov 1, 1985|No|RX|BARR LABORATORIES INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|BARR|2MG|A|070152|001|AB|Nov 1, 1985|No|RX|BARR LABORATORIES INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|BARR|5MG|A|070153|001|AB|Nov 1, 1985|No|RX|BARR LABORATORIES INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|DAVA PHARMS INC|10MG|A|070228|001||Sep 26, 1985|No|DISCN|DAVA PHARMACEUTICALS INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|DAVA PHARMS INC|2MG|A|070226|001|AB|Sep 26, 1985|No|RX|DAVA PHARMACEUTICALS INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|DAVA PHARMS INC|5MG|A|070227|001||Sep 26, 1985|No|DISCN|DAVA PHARMACEUTICALS INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|DURAMED PHARMS BARR|10MG|A|070896|001||Aug 27, 1986|No|DISCN|DURAMED PHARMACEUTICALS INC SUB BARR LABORATORIES INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|DURAMED PHARMS BARR|2MG|A|070894|001||Aug 27, 1986|No|DISCN|DURAMED PHARMACEUTICALS INC SUB BARR LABORATORIES INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|DURAMED PHARMS BARR|5MG|A|070895|001||Aug 27, 1986|No|DISCN|DURAMED PHARMACEUTICALS INC SUB BARR LABORATORIES INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|FERNDALE LABS|10MG|A|070905|001||Apr 1, 1987|No|DISCN|FERNDALE LABORATORIES INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|FERNDALE LABS|2MG|A|070903|001||Apr 1, 1987|No|DISCN|FERNDALE LABORATORIES INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|FERNDALE LABS|5MG|A|070904|001||Apr 1, 1987|No|DISCN|FERNDALE LABORATORIES INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|HALSEY|10MG|A|070956|001||Aug 15, 1986|No|DISCN|HALSEY DRUG CO INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|HALSEY|2MG|A|070987|001||Aug 15, 1986|No|DISCN|HALSEY DRUG CO INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|HALSEY|5MG|A|070996|001||Aug 15, 1986|No|DISCN|HALSEY DRUG CO INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|IVAX SUB TEVA PHARMS|10MG|A|070362|001||Sep 4, 1985|No|DISCN|IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA
DIAZEPAM|TABLET|ORAL|DIAZEPAM|IVAX SUB TEVA PHARMS|10MG|A|071322|001|AB|Dec 10, 1986|No|RX|IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA
DIAZEPAM|TABLET|ORAL|DIAZEPAM|IVAX SUB TEVA PHARMS|2MG|A|070360|001||Sep 4, 1985|No|DISCN|IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA
DIAZEPAM|TABLET|ORAL|DIAZEPAM|IVAX SUB TEVA PHARMS|2MG|A|071307|001|AB|Dec 10, 1986|No|RX|IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA
DIAZEPAM|TABLET|ORAL|DIAZEPAM|IVAX SUB TEVA PHARMS|5MG|A|070361|001||Sep 4, 1985|No|DISCN|IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA
DIAZEPAM|TABLET|ORAL|DIAZEPAM|IVAX SUB TEVA PHARMS|5MG|A|071321|001|AB|Dec 10, 1986|No|RX|IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA
DIAZEPAM|TABLET|ORAL|DIAZEPAM|MARTEC USA LLC|10MG|A|072402|001||Apr 25, 1989|No|DISCN|MARTEC USA LLC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|MYLAN|10MG|A|070325|001|AB|Sep 4, 1985|No|RX|MYLAN PHARMACEUTICALS INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|MYLAN|2MG|A|070325|002|AB|Sep 4, 1985|No|RX|MYLAN PHARMACEUTICALS INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|MYLAN|5MG|A|070325|003|AB|Sep 4, 1985|No|RX|MYLAN PHARMACEUTICALS INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|PAR PHARM|10MG|A|070464|001||Feb 25, 1986|No|DISCN|PAR PHARMACEUTICAL INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|PAR PHARM|2MG|A|070462|001||Feb 25, 1986|No|DISCN|PAR PHARMACEUTICAL INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|PAR PHARM|5MG|A|070463|001||Feb 25, 1986|No|DISCN|PAR PHARMACEUTICAL INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|PIONEER PHARMS|10MG|A|070776|001||Aug 2, 1988|No|DISCN|PIONEER PHARMACEUTICALS INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|PIONEER PHARMS|2MG|A|070787|001||Aug 2, 1988|No|DISCN|PIONEER PHARMACEUTICALS INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|PIONEER PHARMS|5MG|A|070788|001||Aug 2, 1988|No|DISCN|PIONEER PHARMACEUTICALS INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|ROXANE|10MG|A|070358|001||Jun 17, 1986|No|DISCN|ROXANE LABORATORIES INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|ROXANE|2MG|A|070356|001||Jun 17, 1986|No|DISCN|ROXANE LABORATORIES INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|ROXANE|5MG|A|070357|001||Jun 17, 1986|No|DISCN|ROXANE LABORATORIES INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|SANDOZ|10MG|A|070304|001||Dec 20, 1985|No|DISCN|SANDOZ INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|SANDOZ|2MG|A|070302|001||Dec 20, 1985|No|DISCN|SANDOZ INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|SANDOZ|5MG|A|070303|001||Dec 20, 1985|No|DISCN|SANDOZ INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|VINTAGE PHARMS|10MG|A|077749|003|AB|Mar 31, 2006|No|RX|VINTAGE PHARMACEUTICALS INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|VINTAGE PHARMS|2MG|A|077749|001|AB|Mar 31, 2006|No|RX|VINTAGE PHARMACEUTICALS INC
DIAZEPAM|TABLET|ORAL|DIAZEPAM|VINTAGE PHARMS|5MG|A|077749|002|AB|Mar 31, 2006|No|RX|VINTAGE PHARMACEUTICALS INC
